,0
0,aguamate
1,aguamate (kraus) organic
2,aguamate organic
3,aguamate organica
4,aguantadora
5,aguantadora +energia
6,aguantadora cocido
7,aguantadora compuesta
8,aguantadora compuesta hierbas
9,aguantadora con hierbas
10,aguantadora con palo
11,aguantadora despalada
12,aguantadora energia
13,aguantadora lienzo
14,aguantadora mate frio terere
15,aguantadora seleccion especial
16,aguantadora suave
17,aguantadora tradicional
18,amanda
19,amanda compuesta con hierbas
20,amanda con hierbas
21,amanda con palo
22,amanda despalada
23,amanda despalada sin palo
24,amanda elaborada
25,amanda elaborada w lnianym worku
26,amanda elaborada worek
27,amanda hierbas
28,amanda limon
29,amanda naranja
30,amanda organica
31,amanda premium
32,amanda seleccion especial
33,amanda terere
34,andresito con palo
35,anna park
36,arapegua organica
37,argentina clásica
38,barao chas selecionados
39,barao con menta
40,barao de cotegipe export
41,barao de cotegipe nativa
42,barao de cotegipe organica
43,barao de cotegipe premium
44,barao de cotegipe tradicional
45,barao terere natural
46,barão chás selecionados
47,barão com chás
48,barão export compuesta
49,barão export tipo uruguay
50,barão menta
51,barão nativa
52,barão premium
53,barão terere abacaxi menta
54,barão terere menta boldo
55,barão terere menta ice
56,barão terere menta limão
57,barão tradicional
58,cabral silueta ideal
59,cachamate
60,cachamate hierbas
61,cachamate hierbas (ziołowa)
62,cachamate hierbas del litoral
63,cachamate hierbas serranas
64,cachamate siluet plus
65,cambona 
66,campeche
67,campeche elaborada con palo
68,campeche elaborada con palo tradicional
69,campesino
70,campesino anis
71,campesino anis (anyżowa)
72,campesino burrito te verde
73,campesino burrito y te verde
74,campesino cedron
75,campesino clasica
76,campesino classica
77,campesino classica elaborada con palo
78,campesino fitness
79,campesino hierbas naturales tradicional
80,campesino katuava + ginseng
81,campesino katuava ginseng
82,campesino katuava żeńszeń
83,campesino menta boldo
84,campesino menta limon
85,campesino menta limon (miętowo-cytrynowa)
86,campesino mezcla maestra
87,campesino refrescante
88,canarias
89,canarias  elaborada
90,canarias  especial
91,canarias  serena
92,canarias  te verde jengibre
93,canarias edicion especial
94,canarias elaborada
95,canarias especial
96,canarias serena
97,canarias te verde jengibre
98,cbse
99,cbse endulife
100,cbse endulife con stevia
101,cbse endulife ze stewią
102,cbse energia
103,cbse energia guarana
104,cbse energia z guarana
105,cbse etiqueta negra - hierbas serranas
106,cbse frutos del bosque
107,cbse frutos del bosque (owoce lasu)
108,cbse frutos del valle
109,cbse frutos del valle (owoce doliny)
110,cbse frutos tropicales
111,"cbse frutos tropicales (mango, owoce tropikalne)"
112,cbse hierbas cuyanas
113,cbse hierbas del litoral
114,cbse hierbas serranans
115,cbse hierbas serranas
116,cbse hierbas serranas (ziołowa)
117,cbse jabłko gruszka
118,cbse limon
119,cbse limon (cytrynowa)
120,cbse miel
121,cbse miel (miodowa)
122,cbse naranja
123,cbse naranja (pomarańczowa)
124,cbse owoce leśne
